University,Domestic Tuition,International Tuition
Kwantlen Polytechnic University,4010,15750
Emily Carr Institute of Art and Design,3864,3864
Thompson Rivers University,3985,1580
Royal Roads University,7510,16640
Trinity Western University,22260,22260
Simon Fraser University,5322,19648
The University of British Columbia,4988,22578
University of Victoria,5262,16693
The University of Northern British Columbia,5011,11053
University of the Fraser Valley,4100,14700
Vancouver Island University,4177,13200
