St Number,St Name,Street Side,Skytrain Station Name,# of racks,Years Installed
2790,E 29th Av,South,29th Ave,3,2012
496,W Broadway,South,Broadway-City Hall,11,2012
635,Burrard St,West,Burrrad,4,2012
1725,E Broadway,North,Commercial-Broadway,4,2012
655,Seymour St,West,Granville St,4,2012
5099,Joyce St,North,Joyce-Collingwood,3,2012
4099,Cambie St,West,King Edward,22,2012
6488,Cambie St,East,Langara-49th,3,2012
1399,Main St,West,Main St-Science World,4,2012
8430,Cambie St,East,Marine Drive,4,2012
2450,E 24th Av,South,Nanaimo,3,2012
510,W 41st Av,South,Oakridge-41st,4,2012
525,W 2nd Av,North,Olympic Village,4,2012
590,Beatty St,East,Stadium-Chinatown,2,2012
702,W Georgia St,South,Vancouver City Centre,8,2012
601,W Cordova St,North,Waterfront,3,2012
297,Davie St,North,Yaletown-Roundhouse,6,2012
